"Kinoto", 27.99, 232
"Ciruela", 978.75, 891
"Lima", 1171.91, 182
"Melon", 96.96, 468
"Repollo", 7.50, 819
"Repollo", 3.29, 574
"Naranja", 13.11, 1190
"Batata", 26.01, 1040
"Palta", 1115.74, 380
"Caqui", 855.15, 100
"Tomate", 777.42, 819
"Lima", 1034.30, 240
"Pera", 121.89, 920
"Coliflor", 32.56, 575
"Naranja", 14.44, 1040
"Rabanito", 228.08, 294
"Higo", 2518.68, 112
"Banana", 48.18, 1030
"Lima", 1015.57, 224
"Palta", 1117.33, 356
"Durazno", 271.40, 952
"Frambuesa", 2043.16, 99
"Lima", 1314.01, 180
"Choclo", 53.19, 294
"Zanahoria", 33.53, 528
"Frutilla", 270.50, 270
"Palta", 1181.60, 344
"TomCherry", 529.59, 234
"Acelga", 21.37, 729
"Lima", 1326.69, 198
"Batata", 18.54, 830
"Lima", 1172.82, 218
"Frutilla", 304.91, 282
"Mandarina", 10.09, 1170
"Naranja", 15.39, 970
"Uva", 707.40, 240
"Batata", 22.92, 960
"Frambuesa", 2030.77, 103
"Brocoli", 367.20, 472
"Ajo", 935.56, 88
"Naranja", 18.92, 930
"TomCherry", 578.71, 202
"Pepino", 42.71, 460
"Caqui", 850.71, 98
"Coliflor", 37.05, 535
"Lima", 1349.95, 238
"Pepino", 34.17, 500
"Melon", 90.55, 392
"Durazno", 156.42, 872
"Papa", 16.70, 1180
"Melon", 101.12, 408
"Berenjena", 58.43, 678
"Esparrago", 608.52, 224
"Tomate", 801.03, 855
"Mandarina", 20.36, 980
"Limon", 353.78, 616
"Alcachofa", 128.68, 285
"Higo", 2537.10, 97
"Frutilla", 284.52, 330
"Naranja", 17.72, 800
"Kinoto", 44.30, 204
"Durazno", 274.21, 752
"Pomelo", 49.83, 990
"Durazno", 276.13, 736
"Naranja", 9.59, 800
"Cebolla", 64.39, 952
"Limon", 325.63, 672
"Morron", 2943.65, 630
"Cereza", 1034.23, 172
"Frutilla", 278.29, 303
"Lima", 1309.01, 204
"Banana", 67.15, 1130
"Zanahoria", 33.34, 498
"Rabanito", 236.80, 285
"Pomelo", 52.72, 1026
"Rabanito", 229.13, 351
"Acelga", 19.85, 918
"Batata", 16.54, 1060
"Choclo", 58.28, 315
"Palta", 1141.25, 408
"Naranja", 13.10, 1130
"Calabaza", 21.27, 776
"Papa", 5.47, 1150
"Rabanito", 214.52, 240
"Papa", 21.16, 960
"Palta", 1180.34, 400
"Uva", 724.28, 348
"Caqui", 829.34, 95
"Coliflor", 33.00, 495
"Rabanito", 210.04, 252
"Mandarina", 24.37, 1040
"Morron", 2892.21, 720
"Pera", 149.34, 1150
"Kinoto", 38.16, 200
"Cebolla", 50.99, 744
"Caqui", 816.46, 82
"Champignon", 3565.98, 99
"Zanahoria", 45.92, 660
"Morron", 2905.81, 558
"Zanahoria", 30.64, 486
"Papa", 13.22, 950
"Melon", 110.54, 408
"Pepino", 32.98, 420
"Ciruela", 965.54, 900
"Rabanito", 229.54, 360
"Brocoli", 332.14, 320
"Ciruela", 969.53, 972
"Durazno", 132.84, 848
"Naranja", 17.03, 1150
"Batata", 23.02, 960
"Palta", 1159.96, 360
"Rabanito", 223.50, 321
"Morron", 2835.75, 522
"Morron", 2987.44, 648
"Batata", 26.15, 1020
"Pepino", 32.69, 565
"Brocoli", 359.61, 480
"Caqui", 821.91, 102
"Palta", 1203.11, 328
"Durazno", 135.78, 744
"Rabanito", 223.81, 273
"Naranja", 20.06, 1190
"Durazno", 283.94, 696
"Batata", 23.52, 1090
"Champignon", 3562.69, 86
"Banana", 71.05, 950
"Apio", 56.36, 309
"Calabaza", 23.64, 752
"Coliflor", 25.58, 540
"Banana", 73.26, 940
"Ciruela", 980.90, 1008
"Kiwi", 414.73, 384
"Morron", 2883.27, 606
"Sandia", 51.64, 1071
"Lima", 1043.44, 180
"Morron", 2982.67, 564
"Frutilla", 271.24, 312
"Naranja", 20.36, 890
"Melon", 104.39, 336
"Limon", 335.63, 707
"TomCherry", 549.95, 178
"Choclo", 68.01, 303
"Manzana", 129.61, 840
"Palta", 1146.81, 368
"Uva", 741.50, 291
"Limon", 329.97, 623
"Lima", 1384.13, 216
"Berenjena", 52.17, 612
"Kiwi", 411.26, 476
"Brocoli", 332.87, 420
"Frutilla", 264.98, 357
"Palta", 1113.48, 352
"Lima", 1024.25, 184
"Palta", 1173.40, 424
"Alcachofa", 133.52, 282
"Ajo", 925.29, 101
"Coliflor", 31.67, 575
"Brocoli", 373.22, 332
"Banana", 75.38, 890
"Repollo", 4.85, 840
"Kiwi", 417.31, 436
"Mandarina", 23.38, 810
"Mandarina", 16.12, 1110
"Manzana", 134.34, 820
"Manzana", 148.25, 970
"Zanahoria", 26.68, 636
"Pepino", 42.86, 600
"Pera", 136.03, 920
"Frambuesa", 2074.32, 111
"Berenjena", 53.98, 504
"Papa", 24.20, 880
"Melon", 97.21, 392
"Alcachofa", 124.13, 273
"Ciruela", 1001.80, 972
"Naranja", 15.88, 1040
"Kiwi", 432.53, 428
"Palta", 1141.57, 436
"Cereza", 1098.60, 166
"Berenjena", 63.35, 720
"Cebolla", 57.70, 776
"Kinoto", 33.45, 238
"Mandarina", 28.48, 1150
"Repollo", 6.22, 819
"Cereza", 1000.38, 220
"Acelga", 32.59, 738
"Banana", 69.96, 970
"Cereza", 1039.26, 232
"Alcachofa", 148.71, 327
"Pomelo", 40.54, 990
"Lechuga", 39.26, 873
"Naranja", 20.34, 880
"Pera", 170.54, 1190
"Banana", 55.05, 920
"Durazno", 256.05, 840
"Higo", 2515.90, 113
"Kinoto", 37.18, 166
"Esparrago", 613.34, 240
"Lima", 1198.23, 216
"Batata", 17.25, 880
"Limon", 301.40, 623
"Kiwi", 434.83, 392
"Pepino", 40.64, 435
"Banana", 69.64, 1050
"Zuccini", 95.91, 624
"Lima", 1055.91, 174
"Lima", 1217.27, 224
"TomCherry", 516.28, 180
"Pepino", 27.04, 480
"Melon", 97.62, 436
"Coliflor", 24.58, 555
"Ajo", 869.77, 80
"Palta", 1122.63, 412
"Coliflor", 29.01, 500
"Tomate", 734.72, 756
"Mandarina", 20.81, 1140
"Champignon", 3470.77, 105
"Frambuesa", 2149.11, 102
"Naranja", 15.79, 1030
"Zanahoria", 22.22, 654
"Mandarina", 20.24, 890
"Tomate", 774.02, 936
"Berenjena", 56.01, 480
"Frutilla", 281.44, 276
"Brocoli", 353.58, 404
"Lima", 1349.43, 234
"Lima", 1249.44, 180
"Batata", 23.82, 1110
"Lima", 982.54, 234
"Acelga", 26.19, 999
"Pomelo", 44.88, 900
"Palta", 507.13, 545
"Naranja", 5.61, 1020
"Choclo", 45.84, 282
"Manzana", 139.71, 1100
"Manzana", 162.40, 1110
"Acelga", 17.94, 981
"Apio", 66.45, 252
"Durazno", 157.79, 736
"Apio", 49.74, 339
"Durazno", 153.53, 960
"Limon", 338.91, 665
"Esparrago", 612.47, 212
"Champignon", 3642.66, 116
"Durazno", 291.47, 680
"Cereza", 994.71, 208
"Choclo", 70.16, 261
"Coliflor", 31.73, 430
"Rabanito", 229.39, 330
"Limon", 337.36, 826
"Mandarina", 21.61, 1100
"Mandarina", 13.81, 1140
"Melon", 103.63, 412
"Lima", 1210.21, 236
"Pera", 137.38, 880
"Melon", 105.91, 464
"Sandia", 65.56, 1062
"Higo", 2527.07, 115
"Zanahoria", 45.41, 552
"Caqui", 793.90, 99
"Zuccini", 77.38, 588
"Repollo", 6.27, 742
"Alcachofa", 159.57, 321
"Acelga", 27.76, 954
"Naranja", 23.15, 900
"Naranja", 15.53, 1150
"Morron", 2934.81, 720
"Palta", 1168.18, 360
"Berenjena", 52.16, 564
"Champignon", 3627.83, 120
"Lima", 1189.48, 172
"Batata", 11.15, 1110
"Durazno", 141.01, 640
"Palta", 1139.74, 476
"Palta", 1177.43, 408
"Batata", 29.46, 1000
"Champignon", 3561.04, 83
"Lima", 1410.80, 186
"Acelga", 31.00, 990
"Alcachofa", 140.17, 267
"Cereza", 1071.54, 166
"Ciruela", 977.75, 972
"Lima", 1400.26, 178
"Lechuga", 39.77, 1071
"Naranja", 21.61, 950
"Zanahoria", 41.25, 696
"Mandarina", 21.39, 1160
"Kiwi", 454.57, 428
"Naranja", 16.63, 830
"Tomate", 705.86, 891
"Caqui", 809.30, 100
"Palta", 1096.58, 424
"Lima", 1388.64, 220
"Alcachofa", 138.42, 339
"Tomate", 772.76, 1080
"Morron", 2924.99, 588
"Alcachofa", 138.90, 252
"Naranja", 16.25, 1120
"Esparrago", 677.11, 212
"Lima", 1195.32, 240
"Tomate", 752.59, 1035
"Melon", 104.71, 404
"Cebolla", 66.57, 856
"Lechuga", 37.72, 738
"Ciruela", 954.87, 855
"Uva", 681.78, 294
"Uva", 751.09, 294
"Tomate", 695.94, 1062
"Kiwi", 444.35, 352
"Mandarina", 32.72, 1110
"Champignon", 3696.08, 114
"Kinoto", 25.32, 192
"Manzana", 132.99, 1090
"Ciruela", 971.47, 936
"Pomelo", 47.80, 963
"Frambuesa", 2066.49, 103
"Durazno", 169.46, 832
"Mandarina", 20.65, 1050
"Durazno", 173.50, 888
"Lima", 1085.64, 182
"Calabaza", 21.70, 840
"Alcachofa", 142.35, 264
"Palta", 1157.39, 364
"Durazno", 148.26, 848
"Durazno", 235.06, 872
"Choclo", 61.38, 270
"Mandarina", 15.37, 1050
"Morron", 3000.54, 510
"Manzana", 158.88, 930
"Durazno", 164.33, 672
"Lima", 1320.63, 186
"Pomelo", 50.50, 801
"Batata", 27.04, 1020
"Durazno", 132.26, 776
"Durazno", 314.47, 752
"Batata", 28.84, 1100
"Mandarina", 15.30, 830
"Kiwi", 415.25, 440
"Lechuga", 41.61, 1080
"Naranja", 24.01, 930
"Frambuesa", 1975.91, 101
"Brocoli", 371.38, 348
"Banana", 72.90, 830
"Manzana", 140.21, 1160
"Mandarina", 24.87, 860
"Rabanito", 216.01, 240
"Durazno", 152.23, 912
"Tomate", 724.66, 1044
"Naranja", 6.86, 940
"Caqui", 847.82, 109
"Frutilla", 278.81, 312
"Calabaza", 22.67, 840
"Durazno", 168.35, 680
"Batata", 21.13, 910
"Pomelo", 47.48, 927
"Frambuesa", 2001.78, 108
"Durazno", 149.54, 808
"Banana", 72.58, 850
"Naranja", 11.15, 1180
"Banana", 73.72, 1130
"Durazno", 303.64, 736
"Esparrago", 670.09, 164
"Naranja", 11.71, 1030
"Frutilla", 298.23, 273
"Kiwi", 411.83, 328
"Durazno", 114.37, 760
"Mandarina", 22.76, 820
"Limon", 335.82, 567
"Calabaza", 8.29, 736
"Champignon", 3589.82, 97
"Esparrago", 643.93, 196
"Pepino", 31.35, 555
"Naranja", 17.30, 990
"Pera", 135.86, 1030
"Pera", 145.29, 1200
"Lechuga", 48.35, 1044
"Batata", 16.04, 930
"Lima", 1239.05, 208
"Alcachofa", 148.51, 279
"Zanahoria", 28.10, 510
"Esparrago", 604.91, 238
"Coliflor", 21.46, 495
"Lechuga", 30.04, 738
"Apio", 62.30, 339
"Ajo", 871.13, 85
"Lima", 1239.70, 238
"Calabaza", 22.18, 840
"Cereza", 1052.52, 198
"Rabanito", 221.58, 273
"Durazno", 174.75, 856
"Uva", 704.08, 279
"Choclo", 54.10, 348
"Lima", 1061.01, 216
"Durazno", 125.83, 936
"Esparrago", 601.96, 210
"Ajo", 903.68, 102
"Pera", 166.05, 820
"Ciruela", 958.54, 918
"Caqui", 850.25, 112
"Choclo", 66.61, 330
"Lima", 1378.99, 184
"Kinoto", 27.53, 234
"Manzana", 137.19, 1130
"Frutilla", 307.82, 324
"Zanahoria", 33.21, 486
"Cereza", 1089.23, 200
"Rabanito", 230.00, 303
"Naranja", 11.49, 990
"Rabanito", 215.76, 348
"Naranja", 11.03, 960
"Mandarina", 15.40, 1120
"Mandarina", 25.65, 830
"Champignon", 3596.85, 85
"Uva", 717.88, 267
"Acelga", 21.61, 846
"Zanahoria", 22.62, 516
"Champignon", 3502.85, 113
"Caqui", 830.58, 90
"Cebolla", 70.89, 704
"Palta", 504.35, 425
"Cereza", 971.74, 176
"Frambuesa", 2060.87, 100
"Durazno", 148.93, 656
"Durazno", 113.96, 680
"Banana", 53.86, 980
"Champignon", 3588.67, 120
"Durazno", 135.70, 760
"Melon", 114.04, 388
"Lima", 1366.03, 220
"Caqui", 870.07, 111
"Calabaza", 23.61, 792
"Durazno", 265.99, 720
"Frutilla", 267.35, 297
"Mandarina", 14.57, 890
"Durazno", 265.99, 928
"Melon", 118.22, 352
"Choclo", 54.91, 348
"Champignon", 3552.35, 110
"Pepino", 31.87, 550
"Manzana", 169.15, 840
"Rabanito", 250.62, 300
"Ciruela", 935.42, 1053
"Higo", 2482.63, 106
"Banana", 59.11, 980
"Alcachofa", 150.47, 249
"Mandarina", 18.35, 1140
"Apio", 57.82, 318
"Higo", 2549.70, 107
"Zanahoria", 26.67, 702
"Cereza", 1043.29, 206
"Apio", 78.17, 267
"Limon", 352.56, 679
"Alcachofa", 143.80, 300
"Repollo", -1.21, 665
"Repollo", 5.17, 763
"Tomate", 729.13, 1062
"Champignon", 3564.22, 115
"Tomate", 795.75, 999
"Cereza", 968.24, 222
"Morron", 2959.84, 576
"Ciruela", 993.48, 1026
"Mandarina", 23.45, 940
"Caqui", 832.80, 120
"Cereza", 1023.10, 170
"Papa", 20.78, 930
"Ciruela", 973.88, 783
"Durazno", 273.93, 744
"Kiwi", 428.79, 352
"Lima", 1234.61, 234
"Lima", 1407.65, 238
"Papa", 17.19, 1010
"Esparrago", 632.96, 232
"Lima", 1364.09, 230
"Palta", 488.76, 470
"Mandarina", 24.68, 1020
"Caqui", 771.56, 93
"Rabanito", 240.56, 258
"Durazno", 146.83, 856
"Naranja", 11.75, 920
"Limon", 306.27, 686
"Banana", 68.42, 1160
"Lima", 1025.16, 230
"Batata", 14.75, 1180
"Durazno", 151.73, 944
"Batata", 13.93, 920
"Palta", 484.10, 550
"Ciruela", 930.36, 801
"Banana", 72.78, 890
"Mandarina", 31.15, 1080
"Uva", 693.79, 360
"Durazno", 182.13, 936
"Melon", 92.09, 420
"Higo", 2588.28, 113
"Pera", 157.30, 1160
"Limon", 351.33, 756
"Durazno", 290.51, 840
"Durazno", 167.80, 864
"Mandarina", 16.95, 900
"Kinoto", 38.80, 162
"Lima", 1005.77, 178
"Champignon", 3529.74, 112
"Acelga", 15.16, 1062
"Durazno", 116.76, 736
"Durazno", 177.23, 792
"TomCherry", 574.55, 224
"Durazno", 156.47, 848
"Ciruela", 986.70, 846
"Brocoli", 360.65, 468
"Kinoto", 26.86, 218
"Brocoli", 371.63, 360
"Sandia", 58.57, 909
"Lima", 1071.59, 230
"Cebolla", 71.63, 944
"Caqui", 822.69, 100
"Durazno", 155.34, 744
"Pepino", 43.22, 445
"Palta", 475.33, 450
"Batata", 17.07, 1110
"Calabaza", 24.74, 776
"Calabaza", 26.82, 920
"Choclo", 54.20, 267
"Manzana", 142.66, 840
"Mandarina", 18.18, 860
"Mandarina", 21.88, 1130
"Pera", 158.45, 910
"Banana", 67.69, 1160
"Cebolla", 63.63, 880
"Higo", 2499.02, 83
"Higo", 2451.31, 83
"Uva", 719.69, 336
"Limon", 347.89, 665
"Melon", 101.34, 432
"Esparrago", 568.17, 192
"Ajo", 902.08, 88
"Acelga", 31.26, 720
"Esparrago", 647.76, 180
"Cereza", 1097.87, 226
"Ajo", 907.80, 87
"Coliflor", 27.19, 415
"Mandarina", 20.84, 1120
"Durazno", 143.66, 960
"Lima", 1375.52, 188
"Zuccini", 81.96, 684
"Cebolla", 79.84, 744
"Lechuga", 42.88, 1008
"Alcachofa", 139.90, 309
"Lima", 1331.43, 192
"Choclo", 56.34, 348
"Lima", 1062.72, 214
"Kinoto", 31.18, 218
"Coliflor", 24.50, 435
"Melon", 109.35, 396
"Frambuesa", 1986.22, 113
"Lima", 1209.60, 208
"Coliflor", 27.77, 400
"Berenjena", 61.04, 540
"Sandia", 50.59, 999
"Lima", 1254.88, 206
"Lima", 1311.74, 216
"Champignon", 3577.29, 95
"Tomate", 786.44, 945
"Lima", 1296.97, 222
"Durazno", 158.92, 840
"Frutilla", 271.95, 333
"Acelga", 9.42, 981
"Lechuga", 37.38, 1080
"Calabaza", 16.08, 768
"Zuccini", 85.48, 618
"Limon", 338.65, 784
"Caqui", 786.76, 103
"Champignon", 3632.56, 81
"Lima", 1163.87, 192
"Zuccini", 83.80, 654
"Durazno", 159.21, 728
"Durazno", 152.42, 744
"Batata", 20.01, 1200
"Batata", 20.47, 1080
"Morron", 2975.49, 576
"Lima", 1051.08, 180
"Lima", 1247.02, 218
"Frambuesa", 2065.04, 80
"Zuccini", 84.89, 702
"Lima", 1362.70, 210
"Esparrago", 625.01, 190
"Pomelo", 47.97, 1026
"Kinoto", 45.49, 182
"Lima", 1325.13, 204
"Alcachofa", 129.21, 330
"Sandia", 59.83, 765
"Lima", 1022.41, 234
"Pomelo", 50.74, 729
"Kiwi", 419.60, 412
"Mandarina", 26.00, 890
"Sandia", 61.72, 1080
"Lechuga", 43.35, 1026
"TomCherry", 515.52, 232
"Tomate", 731.75, 918
"Kinoto", 19.71, 166
"Kinoto", 40.82, 166
"Rabanito", 232.30, 258
"Lima", 1170.94, 176
"Batata", 25.59, 1040
"Durazno", 136.60, 800
"Cereza", 1052.71, 186
"Limon", 335.39, 819
"Durazno", 265.74, 720
"Lima", 1421.53, 176
"Melon", 103.86, 420
"Palta", 1147.26, 324
"Papa", 8.78, 1200
"Frambuesa", 2133.26, 119
"Zuccini", 101.34, 516
"Durazno", 159.96, 752
"Manzana", 152.06, 1080
"Lima", 1256.18, 168
"Calabaza", 17.84, 896
"Palta", 476.27, 560
"Champignon", 3631.69, 91
"Acelga", 26.26, 1071
"Lima", 1011.41, 212
"Uva", 686.01, 339
"Durazno", 267.11, 952
"Ciruela", 950.55, 774
"Mandarina", 12.61, 940
"Lima", 1346.02, 218
"Apio", 53.35, 279
"Palta", 521.31, 465
"Choclo", 62.06, 324
"Calabaza", 22.16, 952
"Melon", 108.02, 420
"Lima", 1255.95, 200
"Naranja", 10.90, 1160
"Brocoli", 336.87, 472
"Mandarina", 21.35, 880
"Papa", 14.73, 1200
"Mandarina", 23.52, 1150
"Brocoli", 362.82, 372
"Coliflor", 29.71, 505
"Berenjena", 49.57, 546
"Naranja", 11.19, 820
"Rabanito", 220.59, 345
"Choclo", 55.59, 252
"Acelga", 22.59, 954
"TomCherry", 526.10, 202
"Banana", 54.69, 1070
"Esparrago", 607.24, 170
"Pepino", 31.07, 410
"Brocoli", 334.82, 324
"Durazno", 146.08, 640
"Lima", 1378.49, 192
"Coliflor", 32.06, 505
"Lima", 1023.08, 160
"Berenjena", 51.84, 666
"Caqui", 793.40, 89
"Lechuga", 44.63, 963
"Banana", 59.57, 1000
"Cereza", 1047.25, 238
"Zuccini", 110.51, 630
"Champignon", 3699.26, 109
"Coliflor", 18.86, 415
"Zuccini", 88.27, 504
"Cereza", 1078.58, 196
"Naranja", 14.62, 1190
"Papa", 10.66, 1070
"Naranja", 17.21, 1140
"Pepino", 42.39, 600
"Pomelo", 48.77, 1071
"Lima", 1037.29, 172
"Banana", 52.52, 900
"Manzana", 134.42, 1050
"Brocoli", 346.27, 400
"Ajo", 878.13, 99
"Durazno", 248.53, 776
"Naranja", 15.63, 1030
"Tomate", 760.68, 855
"Uva", 727.88, 351
"Choclo", 60.24, 324
"Melon", 96.61, 452
"Apio", 42.86, 315
"Kinoto", 35.42, 164
"Cebolla", 73.81, 880
"Palta", 452.37, 420
"Palta", 1162.16, 348
"Cebolla", 69.85, 736
"Durazno", 174.90, 848
"Papa", 14.53, 1050
"Manzana", 155.22, 980
"Palta", 462.81, 420
"Lima", 1048.29, 204
"Durazno", 271.65, 864
"Palta", 1198.95, 360
"Caqui", 837.63, 90
"TomCherry", 562.53, 220
"Frutilla", 298.05, 264
"Sandia", 59.38, 873
"Limon", 323.57, 616
"Mandarina", 11.91, 850
"Brocoli", 390.57, 340
"Calabaza", 16.02, 680
"Esparrago", 640.22, 230
"Lima", 1342.36, 216
"Ajo", 893.39, 96
